Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  9.15      2.38     2.38   506408     0.00     0.00  _Host_Frame
  9.05      4.73     2.35   338185     0.00     0.00  quake::clipping::clip(glvert_s const*, unsigned int, glvert_s const**, unsigned int*)
  8.77      7.01     2.28      911     0.00     0.00  quake::sound::fillOutputBuffer(void*, unsigned int, void*)
  7.07      8.85     1.84  1303191     0.00     0.00  BoxOnPlaneSide
  4.37      9.98     1.14   512709     0.00     0.00  quake::clipping::is_clipping_required(glvert_s const*, unsigned int)
  4.32     11.10     1.12   125791     0.00     0.00  Length
  3.76     12.08     0.98        1     0.98     0.98  quake::network::infrastructure::init()
  3.74     13.05     0.97     3976     0.00     0.00  GL_DrawAliasFrame(aliashdr_t*, int)
  3.71     14.02     0.96   253204     0.00     0.00  quake::battery::check()
  3.61     14.96     0.94      292     0.00     0.00  Sys_FileRead
  3.39     15.84     0.88    16351     0.00     0.00  SV_RecursiveHullCheck
  2.62     16.52     0.68   640383     0.00     0.00  Q_strncmp
  2.40     17.14     0.62   317681     0.00     0.00  GL_Bind
  2.38     17.76     0.62    11262     0.00     0.00  Cache_Check
  1.84     18.24     0.48       59     0.01     0.01  Sys_FileOpenWrite
  1.66     18.67     0.43      590     0.00     0.00  GL_Upload32_A(int, unsigned char const*, int, int)
  1.22     18.99     0.32   466043     0.00     0.00  Cvar_WriteVariables
  1.20     19.30     0.31     3976     0.00     0.00  RecursiveLightPoint(float*, mnode_s*, float*, float*)
  1.17     19.60     0.30   256491     0.00     0.00  R_RenderBrushPoly
  1.09     19.89     0.28     1217     0.00     0.00  R_RecursiveWorldNode(mnode_s*)
  0.97     20.14     0.25       29     0.01     0.01  Sys_FileTime
  0.84     20.36     0.22   327897     0.00     0.00  R_CullBox
  0.82     20.57     0.21                             Host_Frame
  0.77     20.77     0.20        2     0.10     0.10  VID_Shutdown
  0.76     20.97     0.20   291116     0.00     0.00  FloatSwap
  0.74     21.16     0.19     6079     0.00     0.00  AngleVectors
  0.72     21.34     0.19     1582     0.00     0.00  SX_RoomFX
  0.71     21.53     0.18     9782     0.00     0.00  Sys_FloatTime
  0.67     21.70     0.17    11915     0.00     0.00  SV_ClipToLinks
  0.62     21.86     0.16     2475     0.00     0.00  GL_EndRendering
  0.60     22.02     0.16    11780     0.00     0.00  R_BuildLightMap(msurface_s*, unsigned char*, int)
  0.60     22.18     0.16        1     0.16     0.16  COM_InitArgv
  0.58     22.33     0.15     4351     0.00     0.00  Q_memcmp
  0.54     22.47     0.14    10553     0.00     0.00  SV_Physics_Pusher
  0.52     22.61     0.14     2132     0.00     0.00  Z_Malloc
  0.48     22.73     0.12      502     0.00     0.00  GL_Upload8
  0.47     22.85     0.12    23165     0.00     0.00  D_DrawParticleBuffered
  0.42     22.96     0.11     4870     0.00     0.00  VectorCompare
  0.42     23.07     0.11     9066     0.00     0.00  Q_strlen
  0.36     23.16     0.09     7540     0.00     0.00  EmitSkyPolys
  0.35     23.25     0.09     1158     0.00     0.00  MaterialsCheck
  0.34     23.34     0.09   105538     0.00     0.00  MSG_ReadChar
  0.28     23.42     0.07     2437     0.00     0.00  Mod_PointInLeaf
  0.28     23.49     0.07   100493     0.00     0.00  Draw_Character
  0.28     23.56     0.07     5010     0.00     0.00  COM_Parse
  0.27     23.63     0.07     6207     0.00     0.00  Q_memcpy
  0.24     23.70     0.06    10934     0.00     0.00  R_ConcatRotations
  0.24     23.76     0.06     9596     0.00     0.00  Q_atof
  0.23     23.82     0.06     5482     0.00     0.00  PR_ExecuteProgram
  0.23     23.88     0.06    17508     0.00     0.00  SV_HullForEntity
  0.22     23.93     0.06                             R_StoreEfrags
  0.20     23.99     0.05    25702     0.00     0.00  MSG_WriteByte
  0.20     24.04     0.05        1     0.05     0.05  SNDDMA_Shutdown
  0.19     24.09     0.05     6951     0.00     0.00  MSG_WriteAngle
  0.18     24.13     0.05    24570     0.00     0.00  MSG_ReadShort
  0.18     24.18     0.05     1217     0.00     0.00  V_CalcBob
  0.18     24.23     0.05     1217     0.00     0.00  R_PushDlights
  0.18     24.27     0.05      591     0.00     0.00  GL_LoadTextureLM
  0.17     24.32     0.04       28     0.00     0.00  Mod_FloodFillSkin(unsigned char*, int, int)
  0.17     24.36     0.04     1217     0.00     0.00  CL_DecayLights
  0.16     24.40     0.04     3299     0.00     0.00  SV_FindTouchedLeafs
